PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3147 0.1064 0.0000 1.0000 0.0000 0.1000 0.0426 0.0000 0.0638 0.0000 0.0638 0.1000 1.0000 0.0000 
0.1429 0.1064 0.0000 0.2000 0.0000 0.9000 0.0426 0.8000 0.0638 0.0213 0.0638 0.3000 1.0000 0.0000 
0.1910 0.1064 0.0000 0.3000 0.0000 0.8000 0.0426 0.7000 0.0638 0.0000 0.0638 0.4000 1.0000 0.0000 
0.4186 0.1064 0.0000 0.4000 0.0000 0.7000 0.0426 0.6000 0.0638 0.0000 0.0638 0.5000 1.0000 0.4000 
0.8516 0.0667 0.6000 0.2000 0.0000 0.7000 0.0444 0.0000 0.0667 0.0444 0.1111 0.5000 1.0000 0.0000 
0.7762 0.0667 0.8000 0.2000 0.0000 0.7000 0.0444 0.0000 0.0667 0.0444 0.1111 0.5000 1.0000 0.0000 
0.6170 0.0667 1.0000 0.2000 0.0000 0.7000 0.0444 0.0000 0.0667 0.0444 0.1111 0.5000 1.0000 0.6667 
0.3733 0.1702 0.0000 0.5000 0.0000 0.6000 0.0426 0.5000 0.0426 0.0000 0.0638 0.6000 1.0000 0.2500 
0.5430 0.1333 0.6000 0.2000 0.0000 0.6000 0.0444 0.0000 0.0444 0.0444 0.1111 0.6000 1.0000 0.0000 
0.3954 0.1333 0.8000 0.2000 0.0000 0.6000 0.0444 0.0000 0.0444 0.0444 0.1111 0.6000 1.0000 0.0000 
0.3989 0.1333 1.0000 0.2000 0.0000 0.6000 0.0444 0.0000 0.0444 0.0444 0.1111 0.6000 1.0000 0.0000 
0.2125 0.1809 0.0000 0.6000 0.0000 0.5000 0.0426 0.4000 0.0426 0.0000 0.0638 0.7000 1.0000 0.0000 
0.2247 0.1809 0.0000 0.7000 0.0000 0.4000 0.0426 0.3000 0.0426 0.0000 0.0638 0.8000 1.0000 0.0000 
0.3306 0.1809 0.0000 0.8000 0.0000 0.3000 0.0426 0.2000 0.0426 0.0000 0.0638 0.9000 1.0000 0.2353 
0.4278 0.1444 0.6000 0.2000 0.0000 0.3000 0.0444 0.0000 0.0444 0.0444 0.1111 0.9000 1.0000 0.0000 
0.8052 0.1444 0.8000 0.2000 0.0000 0.3000 0.0444 0.0000 0.0444 0.0444 0.1111 0.9000 1.0000 0.0000 
0.7558 0.1444 1.0000 0.2000 0.0000 0.3000 0.0444 0.0000 0.0444 0.0444 0.1111 0.9000 1.0000 0.3077 
