PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.3588 0.1029 0.0000 0.4000 0.1000 1.0000 0.0010 0.6000 0.0913 0.0010 0.0394 0.1000 1.0000 0.1125 
0.9462 0.0940 0.6000 0.4000 0.2000 1.0000 0.0011 0.0000 0.0789 0.0130 0.0697 0.1000 1.0000 0.1608 
0.9462 0.0816 0.6000 0.2000 0.1000 1.0000 0.0011 0.2000 0.0631 0.0291 0.1061 0.1000 1.0000 0.2260 
0.9176 0.0643 0.8000 0.2000 0.0000 1.0000 0.0011 0.0000 0.0643 0.0484 0.1269 0.1000 1.0000 0.0000 
0.9176 0.0657 0.8000 0.2000 0.1000 1.0000 0.0012 0.1000 0.0435 0.0495 0.1520 0.1000 1.0000 0.3385 
0.8612 0.0445 1.0000 0.2000 0.0000 1.0000 0.0012 0.0000 0.0445 0.0733 0.1782 0.1000 1.0000 0.0000 
0.8612 0.0453 1.0000 0.2000 0.1000 1.0000 0.0012 0.1000 0.0260 0.0748 0.2010 0.1000 1.0000 0.4265 
0.2025 0.2102 0.0000 0.5000 0.1000 0.9000 0.0010 0.5000 0.0222 0.0005 0.0274 0.2000 1.0000 0.0385 
0.1825 0.2072 0.6000 0.4000 0.1000 0.9000 0.0011 0.1000 0.0228 0.0088 0.0534 0.2000 1.0000 0.0824 
0.1825 0.1974 0.6000 0.2000 0.1000 0.9000 0.0011 0.2000 0.0237 0.0269 0.0935 0.2000 1.0000 0.0000 
0.2663 0.1898 0.0000 0.6000 0.3000 0.8000 0.0011 0.4000 0.0228 0.0000 0.0517 0.3000 1.0000 0.0000 
0.2673 0.1901 0.0000 0.7000 0.2000 0.7000 0.0011 0.3000 0.0228 0.0000 0.0531 0.4000 1.0000 0.0000 
0.4186 0.1849 0.0000 0.8000 0.2000 0.6000 0.0010 0.2000 0.0212 0.0000 0.0245 0.5000 1.0000 0.0864 
0.5764 0.1717 0.6000 0.2000 0.0000 0.6000 0.0010 0.0000 0.0215 0.0162 0.0411 0.5000 1.0000 0.0000 
0.4818 0.1717 0.8000 0.2000 0.0000 0.6000 0.0010 0.0000 0.0215 0.0162 0.0411 0.5000 1.0000 0.0000 
0.4818 0.1738 0.8000 0.2000 0.1000 0.6000 0.0011 0.1000 0.0218 0.0164 0.0538 0.5000 1.0000 0.0000 
0.2007 0.1703 0.0000 0.8000 0.1000 0.5000 0.0010 0.2000 0.0203 0.0000 0.0324 0.6000 1.0000 0.0000 
0.3376 0.1730 0.0000 0.8000 0.1000 0.4000 0.0010 0.2000 0.0201 0.0000 0.0491 0.7000 1.0000 0.0000 
0.3528 0.1688 0.0000 1.0000 0.1000 0.3000 0.0010 0.0000 0.0196 0.0000 0.0233 0.8000 1.0000 0.0645 
0.3089 0.1637 0.6000 0.5000 0.1000 0.3000 0.0011 0.0000 0.0203 0.0113 0.0611 0.8000 1.0000 0.0192 
0.3089 0.1667 0.6000 0.2000 0.1000 0.3000 0.0011 0.3000 0.0211 0.0150 0.1014 0.8000 1.0000 0.0000 
0.2323 0.1523 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0193 0.0000 0.0065 0.9000 1.0000 0.0328 
0.2323 0.1584 0.0000 0.4000 0.2000 0.2000 0.0011 0.6000 0.0207 0.0054 0.0821 0.9000 1.0000 0.0000 
0.2520 0.1466 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0192 0.0000 0.0015 1.0000 1.0000 0.0068 
0.2520 0.1581 0.0000 0.8000 0.3000 0.1000 0.0011 0.2000 0.0208 0.0011 0.0877 1.0000 1.0000 0.0000 
0.4382 0.1505 0.0000 0.5000 0.3000 1.0000 0.0021 0.5000 0.0201 0.0021 0.0498 0.1000 1.0000 0.1512 
0.5876 0.1307 0.6000 0.2000 0.0000 1.0000 0.0021 0.0000 0.0206 0.0254 0.0742 0.1000 1.0000 0.0000 
0.5876 0.1375 0.6000 0.2000 0.1000 1.0000 0.0023 0.1000 0.0216 0.0267 0.1300 0.1000 1.0000 0.0000 
0.2285 0.1308 0.0000 0.4000 0.2000 0.9000 0.0022 0.6000 0.0208 0.0011 0.0839 0.2000 1.0000 0.0000 
0.1722 0.1306 0.0000 0.6000 0.2000 0.8000 0.0022 0.4000 0.0207 0.0000 0.0817 0.3000 1.0000 0.0000 
0.1971 0.1288 0.0000 0.7000 0.2000 0.7000 0.0021 0.3000 0.0204 0.0000 0.0668 0.4000 1.0000 0.0000 
0.3807 0.1306 0.0000 0.7000 0.2000 0.6000 0.0022 0.3000 0.0207 0.0000 0.0817 0.5000 1.0000 0.0000 
0.2611 0.1309 0.0000 0.9000 0.2000 0.5000 0.0022 0.1000 0.0186 0.0000 0.0849 0.6000 1.0000 0.0000 
0.2144 0.1367 0.0000 0.9000 0.1000 0.4000 0.0023 0.1000 0.0183 0.0000 0.1323 0.7000 1.0000 0.0000 
0.2088 0.1254 0.0000 0.9000 0.1000 0.3000 0.0021 0.1000 0.0168 0.0000 0.0391 0.8000 1.0000 0.0000 
0.2652 0.1218 0.0000 1.0000 0.1000 0.2000 0.0020 0.0000 0.0163 0.0000 0.0095 0.9000 1.0000 0.0529 
