PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.4147 0.1005 0.0000 0.6000 0.1000 0.6000 0.0010 0.4000 0.0970 0.0000 0.0050 0.1000 1.0000 0.0348 
0.5876 0.0976 0.6000 0.3000 0.0000 0.6000 0.0010 0.0000 0.0976 0.0035 0.0116 0.1000 1.0000 0.0000 
0.5876 0.1000 0.6000 0.2000 0.1000 0.6000 0.0010 0.2000 0.0755 0.0036 0.0364 0.1000 1.0000 0.0000 
0.1989 0.0969 0.0000 0.8000 0.0000 0.5000 0.0010 0.2000 0.0969 0.0000 0.0035 0.2000 1.0000 0.0000 
0.3376 0.0967 0.0000 0.7000 0.0000 0.4000 0.0010 0.3000 0.0949 0.0000 0.0015 0.3000 1.0000 0.0104 
0.3376 0.0969 0.0000 0.2000 0.1000 0.4000 0.0010 0.5000 0.0961 0.0010 0.0147 0.3000 1.0000 0.0000 
0.3058 0.0959 0.0000 0.9000 0.1000 0.3000 0.0010 0.1000 0.0951 0.0000 0.0040 0.4000 1.0000 0.0261 
0.3058 0.0954 0.0000 0.5000 0.2000 0.3000 0.0010 0.4000 0.0939 0.0026 0.0255 0.4000 1.0000 0.0636 
0.3058 0.0910 0.0000 0.4000 0.1000 0.3000 0.0010 0.1000 0.0909 0.0088 0.0452 0.4000 1.0000 0.0525 
0.3609 0.0867 0.6000 0.2000 0.0000 0.3000 0.0011 0.0000 0.0867 0.0136 0.0502 0.4000 1.0000 0.0000 
0.3665 0.0867 0.8000 0.2000 0.0000 0.3000 0.0011 0.0000 0.0867 0.0136 0.0502 0.4000 1.0000 0.0000 
0.3665 0.0883 0.8000 0.2000 0.1000 0.3000 0.0011 0.1000 0.0748 0.0139 0.0693 0.4000 1.0000 0.0000 
0.2841 0.0830 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0830 0.0000 0.0052 0.5000 1.0000 0.0443 
0.2841 0.0807 0.0000 0.4000 0.1000 0.2000 0.0010 0.6000 0.0807 0.0037 0.0228 0.5000 1.0000 0.0454 
0.2841 0.0781 0.0000 0.3000 0.1000 0.2000 0.0010 0.1000 0.0781 0.0075 0.0366 0.5000 1.0000 0.0782 
0.5430 0.0724 0.6000 0.2000 0.0000 0.2000 0.0010 0.0000 0.0724 0.0137 0.0430 0.5000 1.0000 0.0000 
0.4470 0.0724 0.8000 0.2000 0.0000 0.2000 0.0010 0.0000 0.0724 0.0137 0.0430 0.5000 1.0000 0.0000 
0.4470 0.0743 0.8000 0.2000 0.1000 0.2000 0.0011 0.1000 0.0743 0.0140 0.0700 0.5000 1.0000 0.0000 
0.3058 0.0695 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0695 0.0000 0.0015 0.6000 1.0000 0.0144 
0.3058 0.0701 0.0000 0.3000 0.2000 0.1000 0.0010 0.7000 0.0701 0.0010 0.0249 0.6000 1.0000 0.0000 
0.2256 0.0700 0.0000 0.5000 0.2000 1.0000 0.0010 0.5000 0.0700 0.0010 0.0391 0.7000 1.0000 0.0000 
0.2144 0.0683 0.0000 0.4000 0.2000 0.9000 0.0010 0.6000 0.0683 0.0005 0.0213 0.8000 1.0000 0.0000 
0.1303 0.0682 0.0000 0.4000 0.1000 0.8000 0.0010 0.6000 0.0682 0.0000 0.0193 0.9000 1.0000 0.0000 
0.1616 0.0672 0.0000 0.5000 0.1000 0.7000 0.0010 0.5000 0.0672 0.0000 0.0043 1.0000 1.0000 0.0000 
0.3624 0.0672 0.0000 0.6000 0.0000 0.6000 0.0020 0.4000 0.0672 0.0000 0.0050 0.1000 1.0000 0.0299 
0.3624 0.0670 0.0000 0.3000 0.2000 0.6000 0.0021 0.3000 0.0670 0.0021 0.0316 0.1000 1.0000 0.0000 
0.1340 0.0654 0.0000 0.8000 0.0000 0.5000 0.0020 0.2000 0.0654 0.0000 0.0070 0.2000 1.0000 0.0000 
0.2237 0.0652 0.0000 0.8000 0.0000 0.4000 0.0020 0.2000 0.0652 0.0000 0.0050 0.3000 1.0000 0.0000 
0.4045 0.0651 0.0000 0.8000 0.0000 0.3000 0.0020 0.2000 0.0651 0.0000 0.0030 0.4000 1.0000 0.0308 
0.4045 0.0636 0.0000 0.3000 0.1000 0.3000 0.0020 0.5000 0.0636 0.0020 0.0107 0.4000 1.0000 0.0410 
0.4045 0.0616 0.0000 0.2000 0.1000 0.3000 0.0020 0.1000 0.0616 0.0047 0.0219 0.4000 1.0000 0.0938 
0.5615 0.0562 0.6000 0.2000 0.0000 0.3000 0.0021 0.0000 0.0562 0.0105 0.0278 0.4000 1.0000 0.0000 
0.5615 0.0595 0.6000 0.2000 0.1000 0.3000 0.0022 0.1000 0.0595 0.0111 0.0885 0.4000 1.0000 0.0000 
0.1815 0.0548 0.0000 0.9000 0.0000 0.2000 0.0020 0.1000 0.0548 0.0000 0.0030 0.5000 1.0000 0.0000 
0.3226 0.0548 0.0000 1.0000 0.0000 0.1000 0.0020 0.0000 0.0548 0.0000 0.0030 0.6000 1.0000 0.0366 
0.3226 0.0557 0.0000 0.3000 0.2000 0.1000 0.0021 0.7000 0.0557 0.0021 0.0575 0.6000 1.0000 0.0000 
0.2401 0.0577 0.0000 0.3000 0.2000 1.0000 0.0023 0.7000 0.0543 0.0023 0.1396 0.7000 1.0000 0.0000 
0.3147 0.0561 0.0000 0.3000 0.1000 0.9000 0.0023 0.7000 0.0538 0.0011 0.1299 0.8000 1.0000 0.0000 
0.3114 0.0566 0.0000 0.4000 0.1000 0.8000 0.0023 0.6000 0.0543 0.0000 0.1403 0.9000 1.0000 0.0000 
0.2938 0.0545 0.0000 0.5000 0.1000 0.7000 0.0022 0.5000 0.0523 0.0000 0.0969 1.0000 1.0000 0.0000 
0.2088 0.0512 0.0000 0.6000 0.1000 0.6000 0.0041 0.4000 0.0450 0.0000 0.0304 0.1000 1.0000 0.0000 
0.2959 0.0500 0.0000 0.6000 0.0000 0.5000 0.0040 0.4000 0.0419 0.0000 0.0060 0.2000 1.0000 0.0000 
0.1673 0.0502 0.0000 0.8000 0.0000 0.4000 0.0040 0.2000 0.0421 0.0000 0.0101 0.3000 1.0000 0.0000 
0.4277 0.0502 0.0000 0.9000 0.0000 0.3000 0.0040 0.1000 0.0421 0.0000 0.0101 0.4000 1.0000 0.0805 
0.7176 0.0463 0.6000 0.3000 0.0000 0.3000 0.0041 0.1000 0.0422 0.0041 0.0142 0.4000 1.0000 0.0000 
0.7176 0.0485 0.6000 0.2000 0.1000 0.3000 0.0042 0.2000 0.0388 0.0042 0.0615 0.4000 1.0000 0.0000 
0.2052 0.0459 0.0000 0.9000 0.0000 0.2000 0.0040 0.1000 0.0419 0.0000 0.0060 0.5000 1.0000 0.0000 
0.3047 0.0459 0.0000 1.0000 0.0000 0.1000 0.0040 0.0000 0.0419 0.0000 0.0060 0.6000 1.0000 0.0876 
0.3047 0.0469 0.0000 0.2000 0.1000 0.1000 0.0045 0.8000 0.0469 0.0045 0.1252 0.6000 1.0000 0.0000 
0.2052 0.0387 0.0000 0.2000 0.1000 1.0000 0.0041 0.8000 0.0223 0.0041 0.0266 0.7000 1.0000 0.0000 
0.3588 0.0391 0.0000 0.4000 0.1000 0.9000 0.0044 0.6000 0.0391 0.0022 0.0959 0.8000 1.0000 0.0000 
0.1616 0.0368 0.0000 0.5000 0.1000 0.8000 0.0041 0.5000 0.0368 0.0000 0.0322 0.9000 1.0000 0.0000 
0.1739 0.0362 0.0000 0.5000 0.1000 0.7000 0.0041 0.5000 0.0362 0.0000 0.0152 1.0000 1.0000 0.0000 
0.1608 0.0394 0.0000 0.6000 0.1000 0.6000 0.0088 0.4000 0.0394 0.0000 0.1051 0.1000 1.0000 0.0000 
0.1452 0.0361 0.0000 0.6000 0.0000 0.5000 0.0081 0.4000 0.0361 0.0000 0.0121 0.2000 1.0000 0.0000 
0.3215 0.0361 0.0000 0.7000 0.0000 0.4000 0.0081 0.3000 0.0361 0.0000 0.0121 0.3000 1.0000 0.2243 
0.5207 0.0282 0.6000 0.2000 0.0000 0.4000 0.0082 0.0000 0.0282 0.0082 0.0204 0.3000 1.0000 0.0000 
0.4003 0.0282 0.8000 0.2000 0.0000 0.4000 0.0082 0.0000 0.0282 0.0082 0.0204 0.3000 1.0000 0.0000 
0.4003 0.0287 0.8000 0.2000 0.1000 0.4000 0.0083 0.1000 0.0287 0.0083 0.0380 0.3000 1.0000 0.0000 
0.1910 0.0280 0.0000 0.8000 0.0000 0.3000 0.0081 0.2000 0.0280 0.0000 0.0121 0.4000 1.0000 0.0000 
0.2294 0.0280 0.0000 0.9000 0.0000 0.2000 0.0081 0.1000 0.0280 0.0000 0.0121 0.5000 1.0000 0.0000 
0.4382 0.0280 0.0000 1.0000 0.0000 0.1000 0.0081 0.0000 0.0280 0.0000 0.0121 0.6000 1.0000 0.2891 
0.4382 0.0208 0.0000 0.2000 0.1000 0.1000 0.0085 0.8000 0.0208 0.0085 0.0587 0.6000 1.0000 1.0000 
0.4382 0.0685 0.0000 0.2000 0.0000 1.0000 0.0082 0.8000 0.0364 0.0082 0.0204 0.7000 1.0000 0.0000 
0.8982 0.0729 0.6000 0.2000 0.1000 1.0000 0.0087 0.0000 0.0387 0.0087 0.0855 0.7000 1.0000 0.8755 
0.6462 0.0097 0.8000 0.2000 0.0000 1.0000 0.0093 0.0000 0.0097 0.0774 0.1595 0.7000 1.0000 0.0000 
0.6462 0.0106 0.8000 0.2000 0.1000 1.0000 0.0102 0.1000 0.0106 0.0850 0.2731 0.7000 1.0000 1.0000 
0.1197 0.2215 0.0000 0.2000 0.0000 0.9000 0.0081 0.8000 0.0361 0.0040 0.0121 0.8000 1.0000 0.0000 
0.5595 0.2215 0.0000 0.3000 0.0000 0.8000 0.0081 0.7000 0.0361 0.0000 0.0121 0.9000 1.0000 0.0366 
0.7446 0.2152 0.6000 0.2000 0.0000 0.8000 0.0082 0.0000 0.0364 0.0082 0.0204 0.9000 1.0000 0.0000 
0.7446 0.2273 0.6000 0.2000 0.1000 0.8000 0.0086 0.1000 0.0210 0.0086 0.0779 0.9000 1.0000 0.2478 
0.6675 0.1812 0.8000 0.2000 0.0000 0.8000 0.0091 0.0000 0.0223 0.0688 0.1422 0.9000 1.0000 0.0000 
0.6412 0.1812 1.0000 0.2000 0.0000 0.8000 0.0091 0.0000 0.0223 0.0688 0.1422 0.9000 1.0000 0.0000 
0.2228 0.1664 0.0000 0.5000 0.1000 0.7000 0.0084 0.5000 0.0374 0.0000 0.0490 1.0000 1.0000 0.0000 
0.4186 0.1625 0.0000 0.5000 0.0000 0.6000 0.0164 0.5000 0.0201 0.0000 0.0246 0.1000 1.0000 0.1009 
0.5764 0.1486 0.6000 0.2000 0.0000 0.6000 0.0167 0.0000 0.0205 0.0167 0.0417 0.1000 1.0000 0.0000 
0.4391 0.1486 0.8000 0.2000 0.0000 0.6000 0.0167 0.0000 0.0205 0.0167 0.0417 0.1000 1.0000 0.0000 
0.3374 0.1486 1.0000 0.2000 0.0000 0.6000 0.0167 0.0000 0.0205 0.0167 0.0417 0.1000 1.0000 0.0000 
0.1673 0.1461 0.0000 0.6000 0.0000 0.5000 0.0164 0.4000 0.0438 0.0000 0.0246 0.2000 1.0000 0.0000 
0.2873 0.1461 0.0000 0.7000 0.0000 0.4000 0.0164 0.3000 0.0529 0.0000 0.0246 0.3000 1.0000 0.1122 
0.9648 0.1319 0.6000 0.2000 0.0000 0.4000 0.0167 0.0000 0.0538 0.0167 0.0417 0.3000 1.0000 0.1264 
0.2916 0.1707 0.0000 0.8000 0.0000 0.3000 0.0164 0.2000 0.0529 0.0000 0.0246 0.4000 1.0000 0.0960 
0.5095 0.1595 0.6000 0.3000 0.0000 0.3000 0.0169 0.0000 0.0547 0.0169 0.0593 0.4000 1.0000 0.0000 
0.5095 0.1650 0.6000 0.2000 0.1000 0.3000 0.0175 0.2000 0.0566 0.0175 0.0957 0.4000 1.0000 0.0000 
0.3114 0.1543 0.0000 0.9000 0.0000 0.2000 0.0164 0.1000 0.0529 0.0000 0.0246 0.5000 1.0000 0.1062 
0.3114 0.1465 0.0000 0.2000 0.1000 0.2000 0.0174 0.7000 0.0562 0.0174 0.0884 0.5000 1.0000 0.1874 
0.3114 0.1261 0.0000 0.2000 0.1000 0.2000 0.0184 0.0000 0.0595 0.0475 0.1528 0.5000 1.0000 0.2385 
0.5207 0.0990 0.6000 0.2000 0.0000 0.2000 0.0190 0.0000 0.0614 0.0800 0.1885 0.5000 1.0000 0.0000 
0.5207 0.1091 0.6000 0.2000 0.1000 0.2000 0.0209 0.1000 0.0676 0.0881 0.3092 0.5000 1.0000 0.0000 
0.2916 0.0853 0.0000 1.0000 0.0000 0.1000 0.0164 0.0000 0.0420 0.0000 0.0246 0.6000 1.0000 0.0000 
0.2560 0.0724 0.0000 0.2000 0.1000 1.0000 0.0172 0.8000 0.0355 0.0172 0.0763 0.7000 1.0000 0.0000 
