PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.2144 0.1002 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0991 0.0000 0.0015 0.1000 1.0000 0.0000 
0.2421 0.1002 0.0000 0.2000 0.0000 0.9000 0.0010 0.8000 0.0991 0.0005 0.0015 0.3000 1.0000 0.0050 
0.4166 0.0997 0.6000 0.2000 0.0000 0.9000 0.0010 0.0000 0.0992 0.0010 0.0020 0.3000 1.0000 0.0000 
0.3224 0.0997 0.8000 0.2000 0.0000 0.9000 0.0010 0.0000 0.0992 0.0010 0.0020 0.3000 1.0000 0.0000 
0.3459 0.0997 1.0000 0.2000 0.0000 0.9000 0.0010 0.0000 0.0992 0.0010 0.0020 0.3000 1.0000 0.0000 
0.1429 0.0996 0.0000 0.3000 0.0000 0.8000 0.0010 0.7000 0.0991 0.0000 0.0015 0.4000 1.0000 0.0000 
0.2088 0.0996 0.0000 0.4000 0.0000 0.7000 0.0010 0.6000 0.0991 0.0000 0.0015 0.5000 1.0000 0.0000 
0.6790 0.0996 0.0000 0.5000 0.0000 0.6000 0.0010 0.5000 0.0991 0.0000 0.0015 0.6000 1.0000 0.0402 
0.2007 0.1012 0.0000 0.6000 0.0000 0.5000 0.0010 0.4000 0.0986 0.0000 0.0015 0.7000 1.0000 0.0000 
0.4382 0.1002 0.0000 0.7000 0.0000 0.4000 0.0010 0.3000 0.0986 0.0000 0.0015 0.8000 1.0000 0.0200 
0.2460 0.1017 0.0000 0.8000 0.0000 0.3000 0.0010 0.2000 0.0986 0.0000 0.0015 0.9000 1.0000 0.0099 
0.4389 0.1008 0.6000 0.2000 0.0000 0.3000 0.0010 0.0000 0.0987 0.0010 0.0025 0.9000 1.0000 0.0000 
0.3181 0.1008 0.8000 0.2000 0.0000 0.3000 0.0010 0.0000 0.0987 0.0010 0.0025 0.9000 1.0000 0.0000 
0.1265 0.1008 1.0000 0.2000 0.0000 0.3000 0.0010 0.0000 0.0987 0.0010 0.0025 0.9000 1.0000 0.0000 
0.6790 0.1007 0.0000 0.9000 0.0000 0.2000 0.0010 0.1000 0.0986 0.0000 0.0015 1.0000 1.0000 0.0398 
0.3733 0.1023 0.0000 1.0000 0.0000 0.1000 0.0020 0.0000 0.0978 0.0000 0.0030 0.1000 1.0000 0.0196 
0.8015 0.1005 0.6000 0.2000 0.0000 0.1000 0.0020 0.0000 0.0980 0.0020 0.0050 0.1000 1.0000 0.0000 
0.7781 0.1005 0.8000 0.2000 0.0000 0.1000 0.0020 0.0000 0.0980 0.0020 0.0050 0.1000 1.0000 0.0000 
0.7021 0.1005 1.0000 0.2000 0.0000 0.1000 0.0020 0.0000 0.0980 0.0020 0.0050 0.1000 1.0000 0.0000 
0.2401 0.1003 0.0000 0.2000 0.0000 0.9000 0.0020 0.8000 0.0978 0.0010 0.0030 0.3000 1.0000 0.0100 
0.2308 0.0994 0.6000 0.2000 0.0000 0.9000 0.0020 0.0000 0.0979 0.0020 0.0040 0.3000 1.0000 0.0000 
0.2256 0.0994 0.8000 0.2000 0.0000 0.9000 0.0020 0.0000 0.0979 0.0020 0.0040 0.3000 1.0000 0.0000 
0.2496 0.0994 1.0000 0.2000 0.0000 0.9000 0.0020 0.0000 0.0979 0.0020 0.0040 0.3000 1.0000 0.0000 
0.4277 0.0993 0.0000 0.3000 0.0000 0.8000 0.0020 0.7000 0.0978 0.0000 0.0030 0.4000 1.0000 0.0202 
0.5615 0.0975 0.6000 0.2000 0.0000 0.8000 0.0020 0.0000 0.0975 0.0020 0.0050 0.4000 1.0000 0.0000 
0.4304 0.0975 0.8000 0.2000 0.0000 0.8000 0.0020 0.0000 0.0975 0.0020 0.0050 0.4000 1.0000 0.0000 
0.9121 0.0975 1.0000 0.2000 0.0000 0.8000 0.0020 0.0000 0.0975 0.0020 0.0050 0.4000 1.0000 0.0800 
0.2570 0.1023 0.0000 0.4000 0.0000 0.7000 0.0020 0.6000 0.0973 0.0000 0.0030 0.5000 1.0000 0.0196 
0.2643 0.1005 0.6000 0.2000 0.0000 0.7000 0.0020 0.0000 0.0975 0.0020 0.0050 0.5000 1.0000 0.0000 
0.2761 0.1005 0.8000 0.2000 0.0000 0.7000 0.0020 0.0000 0.0975 0.0020 0.0050 0.5000 1.0000 0.0000 
