PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.3956 0.1008 0.0000 0.4000 0.1000 0.8000 0.0010 0.6000 0.0946 0.0000 0.0077 0.1000 1.0000 0.0617 
0.8460 0.0957 0.6000 0.3000 0.0000 0.8000 0.0010 0.0000 0.0957 0.0063 0.0199 0.1000 1.0000 0.0000 
0.8460 0.1000 0.6000 0.3000 0.1000 0.8000 0.0011 0.2000 0.0555 0.0066 0.0653 0.1000 1.0000 0.0000 
0.1310 0.0953 0.0000 0.7000 0.2000 0.7000 0.0010 0.3000 0.0915 0.0000 0.0162 0.2000 1.0000 0.0000 
0.1616 0.0945 0.0000 0.6000 0.1000 0.6000 0.0010 0.4000 0.0944 0.0000 0.0068 0.3000 1.0000 0.0000 
0.1576 0.0940 0.0000 0.6000 0.0000 0.5000 0.0010 0.4000 0.0940 0.0000 0.0015 0.4000 1.0000 0.0000 
0.4382 0.0947 0.0000 0.8000 0.1000 0.4000 0.0010 0.2000 0.0924 0.0000 0.0097 0.5000 1.0000 0.0869 
0.9666 0.0872 0.6000 0.2000 0.0000 0.4000 0.0010 0.0000 0.0872 0.0083 0.0181 0.5000 1.0000 0.0467 
0.9666 0.0863 0.6000 0.2000 0.2000 0.4000 0.0011 0.0000 0.0701 0.0128 0.0562 0.5000 1.0000 0.3359 
0.9390 0.0590 0.8000 0.2000 0.0000 0.4000 0.0011 0.0000 0.0590 0.0431 0.0878 0.5000 1.0000 0.0000 
0.9390 0.0608 0.8000 0.2000 0.1000 0.4000 0.0011 0.1000 0.0438 0.0444 0.1211 0.5000 1.0000 0.5035 
0.8328 0.0311 1.0000 0.2000 0.0000 0.4000 0.0012 0.0000 0.0311 0.0774 0.1565 0.5000 1.0000 0.0000 
0.8328 0.0317 1.0000 0.2000 0.1000 0.4000 0.0012 0.1000 0.0274 0.0788 0.1780 0.5000 1.0000 0.5860 
0.1910 0.1783 0.0000 0.8000 0.0000 0.3000 0.0010 0.2000 0.0233 0.0000 0.0015 0.6000 1.0000 0.0000 
0.3058 0.1783 0.0000 0.9000 0.0000 0.2000 0.0010 0.1000 0.0233 0.0000 0.0015 0.7000 1.0000 0.0056 
0.3058 0.1805 0.0000 0.5000 0.2000 0.2000 0.0010 0.4000 0.0237 0.0010 0.0196 0.7000 1.0000 0.0596 
0.9351 0.1716 0.6000 0.2000 0.0000 0.2000 0.0010 0.0000 0.0240 0.0119 0.0306 0.7000 1.0000 0.0240 
0.2007 0.1965 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0223 0.0000 0.0015 0.8000 1.0000 0.0000 
0.3283 0.1974 0.0000 0.5000 0.1000 1.0000 0.0010 0.5000 0.0220 0.0010 0.0111 0.9000 1.0000 0.0140 
0.3283 0.1979 0.0000 0.5000 0.1000 1.0000 0.0010 0.0000 0.0224 0.0038 0.0283 0.9000 1.0000 0.0217 
0.7041 0.1967 0.6000 0.4000 0.1000 1.0000 0.0010 0.0000 0.0228 0.0083 0.0448 0.9000 1.0000 0.0000 
0.2144 0.1917 0.0000 0.5000 0.2000 0.9000 0.0010 0.5000 0.0222 0.0005 0.0208 1.0000 1.0000 0.0000 
0.3684 0.1920 0.0000 0.5000 0.1000 0.8000 0.0020 0.5000 0.0223 0.0000 0.0227 0.1000 1.0000 0.0917 
0.5541 0.1776 0.6000 0.2000 0.0000 0.8000 0.0021 0.0000 0.0227 0.0179 0.0411 0.1000 1.0000 0.0000 
0.9050 0.1776 0.8000 0.2000 0.0000 0.8000 0.0021 0.0000 0.0227 0.0179 0.0411 0.1000 1.0000 0.0000 
0.9050 0.1824 0.8000 0.2000 0.1000 0.8000 0.0021 0.1000 0.0233 0.0184 0.0697 0.1000 1.0000 0.1507 
0.7327 0.1593 1.0000 0.2000 0.0000 0.8000 0.0022 0.0000 0.0240 0.0472 0.0999 0.1000 1.0000 0.0000 
0.7327 0.1675 1.0000 0.2000 0.1000 0.8000 0.0023 0.1000 0.0252 0.0496 0.1565 0.1000 1.0000 0.3071 
0.2959 0.1912 0.0000 0.5000 0.0000 0.7000 0.0020 0.5000 0.0219 0.0000 0.0050 0.2000 1.0000 0.0105 
0.2959 0.1921 0.0000 0.4000 0.1000 0.7000 0.0020 0.1000 0.0222 0.0020 0.0201 0.2000 1.0000 0.0000 
0.2247 0.1892 0.0000 0.6000 0.0000 0.6000 0.0020 0.4000 0.0219 0.0000 0.0050 0.3000 1.0000 0.0000 
0.3114 0.1901 0.0000 0.8000 0.1000 0.5000 0.0020 0.2000 0.0172 0.0000 0.0099 0.4000 1.0000 0.0254 
0.3114 0.1903 0.0000 0.3000 0.1000 0.5000 0.0021 0.5000 0.0176 0.0050 0.0372 0.4000 1.0000 0.0000 
0.1568 0.1844 0.0000 0.8000 0.0000 0.4000 0.0020 0.2000 0.0151 0.0000 0.0050 0.5000 1.0000 0.0000 
0.2788 0.1840 0.0000 0.8000 0.0000 0.3000 0.0020 0.2000 0.0151 0.0000 0.0030 0.6000 1.0000 0.0109 
0.2788 0.1920 0.0000 0.4000 0.2000 0.3000 0.0021 0.4000 0.0159 0.0021 0.0582 0.6000 1.0000 0.0000 
0.2673 0.1820 0.0000 0.9000 0.0000 0.2000 0.0020 0.1000 0.0151 0.0000 0.0030 0.7000 1.0000 0.0110 
