PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3894 0.1008 0.0000 0.7000 0.1000 0.7000 0.0010 0.3000 0.0963 0.0000 0.0080 0.1000 1.0000 0.0443 
0.9610 0.0968 0.6000 0.2000 0.0000 0.7000 0.0010 0.0000 0.0968 0.0045 0.0125 0.1000 1.0000 0.0419 
0.2237 0.1086 0.0000 0.6000 0.1000 0.6000 0.0010 0.4000 0.0960 0.0000 0.0062 0.2000 1.0000 0.0000 
0.2550 0.1084 0.0000 0.7000 0.1000 0.5000 0.0010 0.3000 0.0959 0.0000 0.0040 0.3000 1.0000 0.0000 
0.4382 0.1085 0.0000 0.8000 0.1000 0.4000 0.0010 0.2000 0.0919 0.0000 0.0057 0.4000 1.0000 0.0386 
0.5987 0.1052 0.6000 0.3000 0.0000 0.4000 0.0010 0.0000 0.0927 0.0042 0.0142 0.4000 1.0000 0.0000 
0.4934 0.1052 0.8000 0.3000 0.0000 0.4000 0.0010 0.0000 0.0927 0.0042 0.0142 0.4000 1.0000 0.0000 
0.3942 0.1052 1.0000 0.3000 0.0000 0.4000 0.0010 0.0000 0.0927 0.0042 0.0142 0.4000 1.0000 0.0000 
0.1459 0.1183 0.0000 0.9000 0.1000 0.3000 0.0010 0.1000 0.0889 0.0000 0.0044 0.5000 1.0000 0.0000 
0.2725 0.1183 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0880 0.0000 0.0045 0.6000 1.0000 0.0251 
0.9833 0.1160 0.6000 0.3000 0.0000 0.2000 0.0010 0.0000 0.0885 0.0030 0.0105 0.6000 1.0000 0.0523 
0.2746 0.1254 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0872 0.0000 0.0015 0.7000 1.0000 0.0000 
0.1576 0.1255 0.0000 0.2000 0.1000 1.0000 0.0010 0.8000 0.0774 0.0010 0.0105 0.8000 1.0000 0.0000 
0.2746 0.1263 0.0000 0.5000 0.3000 0.9000 0.0010 0.5000 0.0843 0.0005 0.0208 0.9000 1.0000 0.0000 
0.3624 0.1250 0.0000 0.5000 0.1000 0.8000 0.0010 0.5000 0.0835 0.0000 0.0107 1.0000 1.0000 0.0655 
0.3460 0.1178 0.6000 0.2000 0.0000 0.8000 0.0010 0.0000 0.0842 0.0083 0.0191 1.0000 1.0000 0.0000 
0.3460 0.1181 0.6000 0.2000 0.1000 0.8000 0.0010 0.1000 0.0844 0.0083 0.0216 1.0000 1.0000 0.0214 
0.3460 0.1162 0.6000 0.2000 0.1000 0.8000 0.0010 0.0000 0.0836 0.0109 0.0269 1.0000 1.0000 0.0225 
0.3460 0.1142 0.6000 0.2000 0.1000 0.8000 0.0010 0.0000 0.0813 0.0135 0.0324 1.0000 1.0000 0.0238 
0.3460 0.1121 0.6000 0.2000 0.1000 0.8000 0.0010 0.0000 0.0790 0.0164 0.0381 1.0000 1.0000 0.0251 
0.3460 0.1099 0.6000 0.2000 0.1000 0.8000 0.0010 0.0000 0.0765 0.0193 0.0441 1.0000 1.0000 0.0000 
0.3306 0.1067 0.0000 0.6000 0.1000 0.7000 0.0020 0.4000 0.0837 0.0000 0.0137 0.1000 1.0000 0.0806 
0.3609 0.0989 0.6000 0.2000 0.0000 0.7000 0.0020 0.0000 0.0844 0.0087 0.0225 0.1000 1.0000 0.0000 
0.3609 0.1001 0.6000 0.2000 0.1000 0.7000 0.0021 0.1000 0.0854 0.0088 0.0343 0.1000 1.0000 0.0000 
0.2725 0.0974 0.0000 0.6000 0.1000 0.6000 0.0020 0.4000 0.0832 0.0000 0.0071 0.2000 1.0000 0.0000 
0.2401 0.0975 0.0000 0.7000 0.1000 0.5000 0.0020 0.3000 0.0832 0.0000 0.0079 0.3000 1.0000 0.0000 
0.2125 0.0979 0.0000 0.9000 0.1000 0.4000 0.0020 0.1000 0.0793 0.0000 0.0116 0.4000 1.0000 0.0000 
0.2052 0.0972 0.0000 0.9000 0.0000 0.3000 0.0020 0.1000 0.0788 0.0000 0.0050 0.5000 1.0000 0.0000 
0.3564 0.0970 0.0000 0.9000 0.0000 0.2000 0.0020 0.1000 0.0766 0.0000 0.0030 0.6000 1.0000 0.0207 
0.9462 0.0952 0.6000 0.2000 0.0000 0.2000 0.0020 0.0000 0.0767 0.0020 0.0050 0.6000 1.0000 0.0633 
0.9462 0.0912 0.6000 0.2000 0.2000 0.2000 0.0021 0.0000 0.0620 0.0082 0.0278 0.6000 1.0000 0.1136 
0.9462 0.0828 0.6000 0.2000 0.1000 0.2000 0.0021 0.0000 0.0497 0.0190 0.0529 0.6000 1.0000 0.1664 
0.9021 0.0700 0.8000 0.2000 0.0000 0.2000 0.0021 0.0000 0.0504 0.0333 0.0676 0.6000 1.0000 0.0000 
0.9021 0.0706 0.8000 0.2000 0.1000 0.2000 0.0022 0.1000 0.0424 0.0336 0.0766 0.6000 1.0000 0.1192 
0.8460 0.0627 1.0000 0.2000 0.0000 0.2000 0.0022 0.0000 0.0427 0.0423 0.0858 0.6000 1.0000 0.0000 
0.8460 0.0634 1.0000 0.2000 0.1000 0.2000 0.0022 0.1000 0.0315 0.0428 0.0985 0.6000 1.0000 0.1847 
0.1576 0.1479 0.0000 1.0000 0.0000 0.1000 0.0020 0.0000 0.0278 0.0000 0.0030 0.7000 1.0000 0.0000 
0.2401 0.1480 0.0000 0.3000 0.2000 1.0000 0.0020 0.7000 0.0282 0.0020 0.0178 0.8000 1.0000 0.0000 
0.4277 0.1458 0.0000 0.4000 0.1000 0.9000 0.0020 0.6000 0.0280 0.0010 0.0094 0.9000 1.0000 0.0389 
0.1806 0.1550 0.0000 0.4000 0.1000 0.8000 0.0020 0.6000 0.0279 0.0000 0.0086 1.0000 1.0000 0.0000 
0.3481 0.1553 0.0000 0.5000 0.0000 0.7000 0.0040 0.5000 0.0280 0.0000 0.0101 0.1000 1.0000 0.0260 
