PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3588 0.1031 0.0000 0.5000 0.0000 0.6000 0.0206 0.5000 0.0825 0.0000 0.0309 0.1000 1.0000 0.2000 
0.5132 0.0842 0.6000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0842 0.0211 0.0526 0.1000 1.0000 0.0000 
0.3922 0.0842 0.8000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0842 0.0211 0.0526 0.1000 1.0000 0.0000 
0.2972 0.0842 1.0000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0842 0.0211 0.0526 0.1000 1.0000 0.0000 
0.1989 0.1340 0.0000 0.6000 0.0000 0.5000 0.0206 0.4000 0.0722 0.0000 0.0309 0.2000 1.0000 0.0000 
0.1608 0.1368 0.0000 0.8000 0.0000 0.4000 0.0211 0.2000 0.0737 0.0000 0.0526 0.3000 1.0000 0.0000 
0.2401 0.1340 0.0000 0.8000 0.0000 0.3000 0.0206 0.2000 0.0722 0.0000 0.0309 0.4000 1.0000 0.0000 
0.2611 0.1340 0.0000 0.9000 0.0000 0.2000 0.0206 0.1000 0.0722 0.0000 0.0309 0.5000 1.0000 0.0000 
0.2916 0.1340 0.0000 1.0000 0.0000 0.1000 0.0206 0.0000 0.0722 0.0000 0.0309 0.6000 1.0000 0.0000 
0.2520 0.1340 0.0000 0.2000 0.0000 0.9000 0.0206 0.8000 0.0722 0.0103 0.0309 0.8000 1.0000 0.0769 
0.7792 0.1250 0.6000 0.2000 0.0000 0.9000 0.0208 0.0000 0.0729 0.0208 0.0417 0.8000 1.0000 0.0000 
0.7393 0.1250 0.8000 0.2000 0.0000 0.9000 0.0208 0.0000 0.0729 0.0208 0.0417 0.8000 1.0000 0.0000 
0.8917 0.1250 1.0000 0.2000 0.0000 0.9000 0.0208 0.0000 0.0729 0.0208 0.0417 0.8000 1.0000 0.1667 
0.2916 0.1649 0.0000 0.3000 0.0000 0.8000 0.0206 0.7000 0.0722 0.0000 0.0309 0.9000 1.0000 0.0000 
0.6790 0.1649 0.0000 0.4000 0.0000 0.7000 0.0206 0.6000 0.0722 0.0000 0.0309 1.0000 1.0000 0.3750 
0.3102 0.1959 0.0000 0.5000 0.0000 0.6000 0.0206 0.5000 0.0515 0.0000 0.0309 0.1000 1.0000 0.1053 
0.5318 0.1789 0.6000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0526 0.0211 0.0526 0.1000 1.0000 0.0000 
0.4022 0.1789 0.8000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0526 0.0211 0.0526 0.1000 1.0000 0.0000 
0.3171 0.1789 1.0000 0.2000 0.0000 0.6000 0.0211 0.0000 0.0526 0.0211 0.0526 0.1000 1.0000 0.0000 
