PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3025 0.1005 0.0000 1.0000 0.1000 0.3000 0.0001 0.0000 0.0959 0.0000 0.0049 0.1000 1.0000 0.0460 
0.3025 0.1164 0.0000 0.6000 0.3000 0.3000 0.0001 0.4000 0.0670 0.0056 0.2206 0.1000 1.0000 0.0000 
0.3215 0.0954 0.0000 0.7000 0.0000 0.1000 0.0001 0.0000 0.0000 0.0000 0.0002 0.2000 1.0000 0.0052 
0.3215 0.0952 0.0000 0.3000 0.2000 0.1000 0.0001 0.4000 0.0000 0.0005 0.0030 0.2000 1.0000 0.0076 
0.3215 0.0947 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0012 0.0060 0.2000 1.0000 0.0119 
0.3215 0.0939 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0024 0.0095 0.2000 1.0000 0.0121 
0.3215 0.0931 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0035 0.0130 0.2000 1.0000 0.0124 
0.3215 0.0923 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0047 0.0165 0.2000 1.0000 0.0127 
0.3215 0.0914 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0059 0.0201 0.2000 1.0000 0.0129 
0.3215 0.0906 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0071 0.0238 0.2000 1.0000 0.0132 
0.3215 0.0897 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0083 0.0275 0.2000 1.0000 0.0135 
0.3215 0.0888 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0096 0.0312 0.2000 1.0000 0.0138 
0.3215 0.0879 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0108 0.0351 0.2000 1.0000 0.0141 
0.3215 0.0870 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0121 0.0390 0.2000 1.0000 0.0144 
0.3215 0.0861 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0134 0.0429 0.2000 1.0000 0.0148 
0.3215 0.0851 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0148 0.0469 0.2000 1.0000 0.0151 
0.3215 0.0842 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0161 0.0510 0.2000 1.0000 0.0154 
0.3215 0.0832 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0175 0.0551 0.2000 1.0000 0.0157 
0.3215 0.0822 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0188 0.0593 0.2000 1.0000 0.0161 
0.3215 0.0812 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0202 0.0635 0.2000 1.0000 0.0164 
0.3215 0.0802 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0217 0.0678 0.2000 1.0000 0.0168 
0.3215 0.0792 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0231 0.0721 0.2000 1.0000 0.0172 
0.3215 0.0781 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0246 0.0765 0.2000 1.0000 0.0175 
0.3215 0.0771 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0260 0.0810 0.2000 1.0000 0.0179 
0.3215 0.0760 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0275 0.0855 0.2000 1.0000 0.0183 
0.3215 0.0749 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0290 0.0900 0.2000 1.0000 0.0186 
0.3215 0.0739 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0306 0.0946 0.2000 1.0000 0.0190 
0.3215 0.0728 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0321 0.0993 0.2000 1.0000 0.0195 
0.3215 0.0716 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0337 0.1040 0.2000 1.0000 0.0199 
0.3215 0.0705 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0352 0.1087 0.2000 1.0000 0.0203 
0.3215 0.0694 0.0000 0.3000 0.1000 0.1000 0.0001 0.0000 0.0000 0.0368 0.1135 0.2000 1.0000 0.0000 
0.3329 0.0633 0.0000 0.4000 0.1000 1.0000 0.0001 0.3000 0.0000 0.0001 0.0178 0.3000 1.0000 0.0000 
0.1429 0.0622 0.0000 0.3000 0.0000 0.9000 0.0001 0.3000 0.0000 0.0001 0.0003 0.5000 1.0000 0.0008 
0.0153 0.0621 0.6000 0.3000 0.0000 0.9000 0.0001 0.1000 0.0000 0.0001 0.0003 0.5000 1.0000 0.0000 
0.0160 0.0621 0.8000 0.3000 0.0000 0.9000 0.0001 0.1000 0.0000 0.0001 0.0003 0.5000 1.0000 0.0000 
0.0224 0.0621 1.0000 0.3000 0.0000 0.9000 0.0001 0.1000 0.0000 0.0001 0.0003 0.5000 1.0000 0.0000 
0.0224 0.0623 1.0000 0.3000 0.1000 0.9000 0.0001 0.1000 0.0000 0.0001 0.0036 0.5000 1.0000 0.0000 
0.3306 0.0621 0.0000 0.4000 0.0000 0.8000 0.0001 0.2000 0.0000 0.0000 0.0003 0.6000 1.0000 0.0016 
0.3906 0.0620 0.6000 0.3000 0.0000 0.8000 0.0001 0.1000 0.0000 0.0001 0.0004 0.6000 1.0000 0.0000 
0.4081 0.0620 0.8000 0.3000 0.0000 0.8000 0.0001 0.1000 0.0000 0.0001 0.0004 0.6000 1.0000 0.0000 
0.4267 0.0620 1.0000 0.3000 0.0000 0.8000 0.0001 0.1000 0.0000 0.0001 0.0004 0.6000 1.0000 0.0000 
0.3982 0.0624 0.0000 0.6000 0.1000 0.3000 0.0001 0.0000 0.0000 0.0000 0.0069 1.0000 1.0000 0.1063 
0.3982 0.0570 0.0000 0.3000 0.1000 0.3000 0.0001 0.3000 0.0000 0.0068 0.0279 1.0000 1.0000 0.2601 
0.3982 0.0434 0.0000 0.2000 0.1000 0.3000 0.0001 0.1000 0.0000 0.0223 0.0593 1.0000 1.0000 0.0000 
