PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.1989 0.1170 0.0000 0.8000 0.3000 0.7000 0.0117 0.2000 0.0702 0.0000 0.1696 0.1000 1.0000 0.0000 
0.1875 0.1015 0.0000 0.5000 0.0000 0.2000 0.0102 0.1000 0.0000 0.0000 0.0152 0.2000 1.0000 0.1000 
0.1045 0.0923 0.6000 0.2000 0.0000 0.2000 0.0103 0.0000 0.0000 0.0103 0.0256 0.2000 1.0000 0.0000 
0.9787 0.0923 0.8000 0.2000 0.0000 0.2000 0.0103 0.0000 0.0000 0.0103 0.0256 0.2000 1.0000 0.3333 
0.3982 0.1168 0.0000 0.6000 0.0000 0.1000 0.0102 0.0000 0.0000 0.0000 0.0152 0.5000 1.0000 0.1739 
0.3982 0.1005 0.0000 0.2000 0.1000 0.1000 0.0106 0.4000 0.0000 0.0212 0.0582 0.5000 1.0000 0.0000 
0.8149 0.1005 0.6000 0.2000 0.0000 0.1000 0.0106 0.1000 0.0000 0.0212 0.0582 0.5000 1.0000 0.0000 
0.8135 0.1005 0.8000 0.2000 0.0000 0.1000 0.0106 0.1000 0.0000 0.0212 0.0582 0.5000 1.0000 0.2105 
0.8135 0.0829 0.8000 0.2000 0.1000 0.1000 0.0110 0.0000 0.0000 0.0442 0.1050 0.5000 1.0000 0.0000 
0.8061 0.0829 1.0000 0.2000 0.0000 0.1000 0.0110 0.1000 0.0000 0.0442 0.1050 0.5000 1.0000 0.2667 
0.8061 0.0651 1.0000 0.2000 0.2000 0.1000 0.0118 0.0000 0.0000 0.0710 0.1834 0.5000 1.0000 0.3636 
0.1989 0.2051 0.0000 0.2000 0.0000 1.0000 0.0103 0.4000 0.0000 0.0103 0.0256 0.7000 1.0000 0.0000 
0.7570 0.2051 0.6000 0.2000 0.0000 1.0000 0.0103 0.1000 0.0000 0.0103 0.0256 0.7000 1.0000 0.0000 
0.7103 0.2051 0.8000 0.2000 0.0000 1.0000 0.0103 0.1000 0.0000 0.0103 0.0256 0.7000 1.0000 0.0000 
0.7668 0.2051 1.0000 0.2000 0.0000 1.0000 0.0103 0.1000 0.0000 0.0103 0.0256 0.7000 1.0000 0.0500 
0.7668 0.1990 1.0000 0.2000 0.1000 1.0000 0.0105 0.0000 0.0000 0.0209 0.0471 0.7000 1.0000 0.0000 
0.6006 0.2359 0.0000 0.3000 0.0000 0.9000 0.0103 0.3000 0.0000 0.0051 0.0256 0.8000 1.0000 0.0652 
0.1552 0.2589 0.0000 0.3000 0.0000 0.8000 0.0102 0.3000 0.0000 0.0000 0.0152 1.0000 1.0000 0.0000 
0.1109 0.2589 0.0000 0.4000 0.0000 0.3000 0.0102 0.2000 0.0000 0.0000 0.0152 0.1000 1.0000 0.0000 
0.1954 0.2589 0.0000 0.5000 0.0000 0.2000 0.0102 0.1000 0.0000 0.0000 0.0152 0.2000 1.0000 0.0000 
0.3306 0.2589 0.0000 0.6000 0.0000 0.1000 0.0102 0.0000 0.0000 0.0000 0.0152 0.5000 1.0000 0.0392 
0.9314 0.2513 0.6000 0.2000 0.0000 0.1000 0.0103 0.0000 0.0000 0.0103 0.0256 0.5000 1.0000 0.0408 
0.2088 0.2667 0.0000 0.2000 0.0000 1.0000 0.0103 0.4000 0.0000 0.0103 0.0256 0.7000 1.0000 0.0000 
