PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.3588 0.1016 0.0000 0.5000 0.1000 0.8000 0.0010 0.5000 0.0944 0.0000 0.0160 0.1000 1.0000 0.0713 
0.3588 0.1008 0.0000 0.3000 0.2000 0.8000 0.0011 0.2000 0.0503 0.0077 0.0852 0.1000 1.0000 0.0000 
0.1739 0.0937 0.0000 0.5000 0.1000 0.7000 0.0010 0.5000 0.0835 0.0000 0.0087 0.2000 1.0000 0.0000 
0.1232 0.0956 0.0000 0.9000 0.1000 0.6000 0.0010 0.1000 0.0847 0.0000 0.0295 0.3000 1.0000 0.0000 
0.3376 0.0943 0.0000 0.9000 0.2000 0.5000 0.0010 0.1000 0.0836 0.0000 0.0157 0.4000 1.0000 0.0581 
0.8887 0.0912 0.6000 0.7000 0.0000 0.5000 0.0010 0.1000 0.0858 0.0056 0.0427 0.4000 1.0000 0.0457 
0.3329 0.1302 0.0000 0.9000 0.1000 0.4000 0.0010 0.1000 0.0827 0.0000 0.0144 0.5000 1.0000 0.0493 
0.3329 0.1262 0.0000 0.2000 0.1000 0.4000 0.0010 0.7000 0.0715 0.0065 0.0340 0.5000 1.0000 0.0000 
0.2323 0.1232 0.0000 0.9000 0.1000 0.3000 0.0010 0.1000 0.0831 0.0000 0.0096 0.6000 1.0000 0.0000 
0.3612 0.1232 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0831 0.0000 0.0091 0.7000 1.0000 0.0616 
0.8293 0.1165 0.6000 0.2000 0.0000 0.2000 0.0010 0.0000 0.0837 0.0076 0.0168 0.7000 1.0000 0.0349 
0.5595 0.1313 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0824 0.0000 0.0015 0.8000 1.0000 0.0305 
0.5595 0.1299 0.0000 0.5000 0.1000 0.1000 0.0010 0.5000 0.0800 0.0041 0.0220 0.8000 1.0000 0.0000 
0.8445 0.1324 0.6000 0.3000 0.1000 0.1000 0.0010 0.3000 0.0733 0.0042 0.0419 0.8000 1.0000 0.1474 
0.7274 0.1151 0.8000 0.2000 0.0000 0.1000 0.0011 0.0000 0.0748 0.0242 0.0627 0.8000 1.0000 0.0000 
0.6635 0.1151 1.0000 0.2000 0.0000 0.1000 0.0011 0.0000 0.0748 0.0242 0.0627 0.8000 1.0000 0.0000 
0.6635 0.1218 1.0000 0.2000 0.1000 0.1000 0.0011 0.1000 0.0216 0.0255 0.1237 0.8000 1.0000 0.0000 
0.4476 0.1089 0.0000 0.3000 0.1000 1.0000 0.0010 0.7000 0.0794 0.0010 0.0145 0.9000 1.0000 0.0503 
0.4476 0.1052 0.0000 0.3000 0.1000 1.0000 0.0010 0.0000 0.0807 0.0066 0.0316 0.9000 1.0000 0.0535 
0.5838 0.1001 0.6000 0.3000 0.0000 1.0000 0.0010 0.1000 0.0812 0.0123 0.0374 0.9000 1.0000 0.0000 
0.5838 0.1014 0.6000 0.2000 0.1000 1.0000 0.0011 0.2000 0.0691 0.0125 0.0510 0.9000 1.0000 0.0000 
0.2560 0.0985 0.0000 0.7000 0.1000 0.9000 0.0010 0.3000 0.0754 0.0005 0.0261 1.0000 1.0000 0.0000 
