PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.3564 0.1026 0.0000 0.4000 0.0000 0.8000 0.0103 0.6000 0.0923 0.0000 0.0256 0.1000 1.0000 0.1000 
0.8442 0.0948 0.6000 0.3000 0.1000 0.8000 0.0105 0.0000 0.0782 0.0105 0.0535 0.1000 1.0000 0.1756 
0.8442 0.0813 0.6000 0.2000 0.1000 0.8000 0.0110 0.1000 0.0587 0.0283 0.0955 0.1000 1.0000 0.0000 
0.2237 0.0753 0.0000 0.4000 0.0000 0.7000 0.0102 0.6000 0.0753 0.0000 0.0152 0.2000 1.0000 0.0000 
0.3612 0.0769 0.0000 0.7000 0.0000 0.6000 0.0104 0.3000 0.0769 0.0000 0.0363 0.3000 1.0000 0.1348 
0.3612 0.0692 0.0000 0.3000 0.1000 0.6000 0.0108 0.4000 0.0692 0.0108 0.0781 0.3000 1.0000 0.0000 
0.2134 0.0652 0.0000 0.6000 0.0000 0.5000 0.0102 0.4000 0.0652 0.0000 0.0152 0.4000 1.0000 0.0000 
0.2088 0.0652 0.0000 0.7000 0.0000 0.4000 0.0102 0.3000 0.0652 0.0000 0.0152 0.5000 1.0000 0.0000 
0.2788 0.0652 0.0000 0.8000 0.0000 0.3000 0.0102 0.2000 0.0652 0.0000 0.0152 0.6000 1.0000 0.0000 
0.3612 0.0652 0.0000 0.9000 0.0000 0.2000 0.0102 0.1000 0.0652 0.0000 0.0152 0.7000 1.0000 0.1558 
0.6730 0.0556 0.6000 0.2000 0.0000 0.2000 0.0103 0.0000 0.0556 0.0103 0.0256 0.7000 1.0000 0.0000 
0.7727 0.0556 0.8000 0.2000 0.0000 0.2000 0.0103 0.0000 0.0556 0.0103 0.0256 0.7000 1.0000 0.0000 
0.6491 0.0556 1.0000 0.2000 0.0000 0.2000 0.0103 0.0000 0.0556 0.0103 0.0256 0.7000 1.0000 0.0000 
0.3564 0.0804 0.0000 1.0000 0.0000 0.1000 0.0102 0.0000 0.0648 0.0000 0.0152 0.8000 1.0000 0.1263 
