PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.2905 0.1005 0.0000 0.9000 0.1000 0.4000 0.0010 0.1000 0.0984 0.0000 0.0045 0.1000 1.0000 0.0202 
0.2905 0.1088 0.0000 0.6000 0.3000 0.4000 0.0011 0.3000 0.0492 0.0022 0.1102 0.1000 1.0000 0.0000 
0.1714 0.0982 0.0000 0.9000 0.0000 0.3000 0.0010 0.1000 0.0435 0.0000 0.0025 0.2000 1.0000 0.0000 
0.3636 0.0990 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0704 0.0000 0.0102 0.3000 1.0000 0.0881 
0.3636 0.0974 0.0000 0.4000 0.2000 0.2000 0.0011 0.6000 0.0648 0.0094 0.0903 0.3000 1.0000 0.1708 
0.3636 0.0858 0.0000 0.4000 0.2000 0.2000 0.0012 0.0000 0.0600 0.0277 0.1577 0.3000 1.0000 0.2060 
0.3636 0.0736 0.0000 0.4000 0.2000 0.2000 0.0013 0.0000 0.0457 0.0490 0.2515 0.3000 1.0000 0.3226 
0.3636 0.0578 0.0000 0.4000 0.3000 0.2000 0.0015 0.0000 0.0036 0.0843 0.4509 0.3000 1.0000 0.8545 
0.9556 0.0089 0.6000 0.3000 0.0000 0.2000 0.0015 0.0000 0.0000 0.1412 0.5321 0.3000 1.0000 0.6759 
0.3856 0.3575 0.0000 0.8000 0.0000 0.1000 0.0010 0.0000 0.0000 0.0000 0.0015 0.4000 1.0000 0.0056 
0.3856 0.3621 0.0000 0.3000 0.3000 0.1000 0.0010 0.5000 0.0000 0.0020 0.0199 0.4000 1.0000 0.0225 
0.6953 0.3583 0.6000 0.3000 0.0000 0.1000 0.0010 0.0000 0.0000 0.0103 0.0325 0.4000 1.0000 0.0000 
0.6953 0.3587 0.6000 0.3000 0.1000 0.1000 0.0010 0.2000 0.0000 0.0103 0.0336 0.4000 1.0000 0.0029 
0.5461 0.3584 0.8000 0.3000 0.0000 0.1000 0.0010 0.0000 0.0000 0.0114 0.0357 0.4000 1.0000 0.0000 
0.5461 0.3587 0.8000 0.3000 0.1000 0.1000 0.0010 0.2000 0.0000 0.0114 0.0368 0.4000 1.0000 0.0029 
0.8204 0.3585 1.0000 0.3000 0.0000 0.1000 0.0010 0.0000 0.0000 0.0125 0.0390 0.4000 1.0000 0.2898 
0.1918 0.4620 0.0000 0.2000 0.1000 1.0000 0.0010 0.5000 0.0000 0.0010 0.0108 0.5000 1.0000 0.0179 
