PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.1608 0.1011 0.0000 0.9000 0.1000 0.3000 0.0010 0.1000 0.0919 0.0000 0.0107 0.1000 1.0000 0.0000 
0.4382 0.1034 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0052 0.0000 0.0340 0.2000 1.0000 0.0000 
0.3807 0.1002 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0051 0.0000 0.0015 0.3000 1.0000 0.0100 
0.3807 0.1121 0.0000 0.3000 0.2000 0.1000 0.0011 0.7000 0.0057 0.0011 0.1320 0.3000 1.0000 0.0000 
0.3588 0.1072 0.0000 0.4000 0.2000 1.0000 0.0011 0.6000 0.0055 0.0011 0.0935 0.4000 1.0000 0.0000 
0.2611 0.1070 0.0000 0.3000 0.1000 0.9000 0.0011 0.7000 0.0056 0.0005 0.0976 0.5000 1.0000 0.0000 
0.3114 0.1055 0.0000 0.4000 0.1000 0.8000 0.0011 0.6000 0.0055 0.0000 0.0816 0.6000 1.0000 0.0000 
0.2134 0.1009 0.0000 0.6000 0.1000 0.7000 0.0010 0.4000 0.0052 0.0000 0.0344 0.7000 1.0000 0.0000 
0.2673 0.1010 0.0000 0.6000 0.1000 0.6000 0.0010 0.4000 0.0042 0.0000 0.0355 0.8000 1.0000 0.0000 
0.4007 0.0981 0.0000 0.7000 0.1000 0.5000 0.0010 0.3000 0.0381 0.0000 0.0066 0.9000 1.0000 0.0521 
0.4007 0.0990 0.0000 0.3000 0.2000 0.5000 0.0011 0.4000 0.0405 0.0054 0.0710 0.9000 1.0000 0.0000 
0.3341 0.0927 0.0000 0.8000 0.0000 0.4000 0.0010 0.2000 0.0380 0.0000 0.0025 1.0000 1.0000 0.0108 
0.3341 0.0937 0.0000 0.4000 0.2000 0.4000 0.0010 0.4000 0.0388 0.0010 0.0251 1.0000 1.0000 0.0849 
0.3341 0.0879 0.0000 0.3000 0.1000 0.4000 0.0011 0.1000 0.0398 0.0092 0.0501 1.0000 1.0000 0.1275 
0.3341 0.0791 0.0000 0.2000 0.1000 0.4000 0.0011 0.1000 0.0276 0.0211 0.0838 1.0000 1.0000 0.0000 
0.1815 0.0749 0.0000 1.0000 0.2000 0.3000 0.0021 0.0000 0.0388 0.0000 0.0258 0.1000 1.0000 0.0000 
0.3014 0.0732 0.0000 0.9000 0.0000 0.2000 0.0020 0.1000 0.0380 0.0000 0.0030 0.2000 1.0000 0.0274 
0.3014 0.0717 0.0000 0.2000 0.1000 0.2000 0.0020 0.7000 0.0383 0.0020 0.0104 0.2000 1.0000 0.0469 
0.9017 0.0686 0.6000 0.2000 0.0000 0.2000 0.0020 0.0000 0.0384 0.0054 0.0138 0.2000 1.0000 0.1182 
0.2007 0.0816 0.0000 1.0000 0.0000 0.1000 0.0020 0.0000 0.0380 0.0000 0.0030 0.3000 1.0000 0.0000 
0.2746 0.0843 0.0000 0.3000 0.2000 1.0000 0.0021 0.7000 0.0190 0.0021 0.0628 0.4000 1.0000 0.0000 
0.1616 0.0830 0.0000 0.4000 0.1000 0.9000 0.0021 0.6000 0.0190 0.0011 0.0592 0.5000 1.0000 0.0000 
0.4186 0.0813 0.0000 0.4000 0.1000 0.8000 0.0021 0.6000 0.0186 0.0000 0.0386 0.6000 1.0000 0.0000 
0.4382 0.0810 0.0000 0.5000 0.1000 0.7000 0.0021 0.5000 0.0185 0.0000 0.0339 0.7000 1.0000 0.0000 
0.1608 0.0848 0.0000 0.6000 0.1000 0.6000 0.0022 0.4000 0.0194 0.0000 0.0825 0.8000 1.0000 0.0000 
0.2725 0.0824 0.0000 0.7000 0.1000 0.5000 0.0021 0.3000 0.0188 0.0000 0.0523 0.9000 1.0000 0.0000 
0.3588 0.0786 0.0000 0.7000 0.0000 0.4000 0.0020 0.3000 0.0180 0.0000 0.0030 1.0000 1.0000 0.0255 
0.3588 0.0807 0.0000 0.3000 0.1000 0.4000 0.0021 0.4000 0.0189 0.0021 0.0572 1.0000 1.0000 0.0000 
0.2401 0.0804 0.0000 0.9000 0.1000 0.3000 0.0042 0.1000 0.0189 0.0000 0.0535 0.1000 1.0000 0.0000 
0.1529 0.0768 0.0000 0.9000 0.0000 0.2000 0.0040 0.1000 0.0180 0.0000 0.0060 0.2000 1.0000 0.0000 
0.1303 0.0768 0.0000 1.0000 0.0000 0.1000 0.0040 0.0000 0.0140 0.0000 0.0060 0.3000 1.0000 0.0000 
0.1722 0.0764 0.0000 0.3000 0.1000 1.0000 0.0042 0.7000 0.0126 0.0042 0.0569 0.4000 1.0000 0.0000 
0.1303 0.0774 0.0000 0.3000 0.1000 0.9000 0.0044 0.7000 0.0131 0.0022 0.1012 0.5000 1.0000 0.0000 
0.3612 0.0747 0.0000 0.4000 0.1000 0.8000 0.0042 0.6000 0.0126 0.0000 0.0621 0.6000 1.0000 0.0000 
0.4382 0.0745 0.0000 0.5000 0.1000 0.7000 0.0042 0.5000 0.0126 0.0000 0.0589 0.7000 1.0000 0.0000 
0.5595 0.0732 0.0000 0.6000 0.1000 0.6000 0.0042 0.4000 0.0124 0.0000 0.0409 0.8000 1.0000 0.4733 
0.8445 0.0399 0.6000 0.2000 0.0000 0.6000 0.0043 0.0000 0.0128 0.0359 0.0782 0.8000 1.0000 0.0000 
0.8445 0.0403 0.6000 0.2000 0.1000 0.6000 0.0043 0.1000 0.0129 0.0362 0.0874 0.8000 1.0000 0.2119 
0.6926 0.0320 0.8000 0.2000 0.0000 0.6000 0.0044 0.0000 0.0131 0.0451 0.0968 0.8000 1.0000 0.0000 
0.6926 0.0325 0.8000 0.2000 0.1000 0.6000 0.0044 0.1000 0.0132 0.0457 0.1123 0.8000 1.0000 0.4341 
