PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.3481 0.1002 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0991 0.0000 0.0015 0.1000 1.0000 0.0100 
0.8803 0.1000 0.6000 1.0000 0.0000 0.1000 0.0010 0.0000 0.1000 0.0010 0.0101 0.1000 1.0000 0.0202 
0.8803 0.1000 0.6000 1.0000 0.1000 0.1000 0.0010 0.0000 0.1000 0.0031 0.0309 0.1000 1.0000 0.0000 
0.8488 0.1000 0.8000 1.0000 0.0000 0.1000 0.0010 0.9000 0.1000 0.0031 0.0309 0.1000 1.0000 0.0000 
0.8026 0.1000 1.0000 1.0000 0.0000 0.1000 0.0010 0.9000 0.1000 0.0031 0.0309 0.1000 1.0000 0.0000 
0.1429 0.0970 0.0000 1.0000 0.0000 1.0000 0.0010 0.0000 0.0970 0.0010 0.0101 0.2000 1.0000 0.0000 
0.6512 0.0970 0.6000 1.0000 0.0000 1.0000 0.0010 0.9000 0.0970 0.0010 0.0101 0.2000 1.0000 0.0000 
0.5566 0.0970 0.8000 1.0000 0.0000 1.0000 0.0010 0.9000 0.0970 0.0010 0.0101 0.2000 1.0000 0.0000 
0.4631 0.0970 1.0000 1.0000 0.0000 1.0000 0.0010 0.9000 0.0970 0.0010 0.0101 0.2000 1.0000 0.0000 
0.2873 0.0964 0.0000 1.0000 0.0000 0.9000 0.0010 0.0000 0.0959 0.0005 0.0096 0.3000 1.0000 0.0052 
0.9332 0.0960 0.6000 1.0000 0.0000 0.9000 0.0010 0.8000 0.0960 0.0010 0.0101 0.3000 1.0000 0.0000 
0.9041 0.0960 0.8000 1.0000 0.0000 0.9000 0.0010 0.8000 0.0960 0.0010 0.0101 0.3000 1.0000 0.0000 
0.8308 0.0960 1.0000 1.0000 0.0000 0.9000 0.0010 0.8000 0.0960 0.0010 0.0101 0.3000 1.0000 0.0000 
0.3684 0.0958 0.0000 1.0000 0.0000 0.8000 0.0010 0.0000 0.0948 0.0000 0.0086 0.4000 1.0000 0.0105 
0.9193 0.0949 0.6000 1.0000 0.0000 0.8000 0.0010 0.7000 0.0949 0.0010 0.0101 0.4000 1.0000 0.0106 
0.9193 0.0949 0.6000 1.0000 0.1000 0.8000 0.0010 0.0000 0.0949 0.0020 0.0204 0.4000 1.0000 0.0000 
0.8895 0.0949 0.8000 1.0000 0.0000 0.8000 0.0010 0.9000 0.0949 0.0020 0.0204 0.4000 1.0000 0.0000 
0.8318 0.0949 1.0000 1.0000 0.0000 0.8000 0.0010 0.9000 0.0949 0.0020 0.0204 0.4000 1.0000 0.0000 
0.2025 0.0937 0.0000 1.0000 0.0000 0.7000 0.0010 0.0000 0.0927 0.0000 0.0076 0.5000 1.0000 0.0108 
